geometry,EMERGENCIA,AREA_HA,SHAPE_Length,SHAPE_Area_left,RULEID,index_right,DeCodigo,DeNombre,DeArea,DeNorma,SHAPE_Leng,SHAPE_Area_right
POINT (-70.79651750293165 5.915299576639967),Inundación,28.0115266397,0.02957826358,2.280075e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-70.53542999850174 5.913922750775084),Inundación,37.8466644066,0.03935590015,3.078959e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.54787521844706 5.91254406947733),Inundación,237.523645877,0.12712035345,0.00019359445,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.77586608588379 5.917231651605402),Inundación,42.6961627054,0.06177027495,3.479062e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-74.50475812023637 5.927215713446394),Inundación,39.1253025337,0.03013226636,3.195026e-05,1,14.0,15,['Boyacá'],23057.4616122,Constitución Política de Colombia 1886,1768654.28263,23057461612.2
POINT (-71.11913649410155 5.913313777731843),Inundación,100.92227177,0.09016566513,8.21984e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.59506534486631 5.908107010939447),Inundación,679.863915325,0.28635937158,0.0005541608,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.32740951110456 5.866289208307733),Inundación,"3,080.69023814",1.03876833398,0.0025098351,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.20921547038384 5.920411342070228),Inundación,59.7074656369,0.0448521604,4.863845e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-70.89633391088701 5.920602264987656),Inundación,39.4233872346,0.02272064243,3.209634e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.36725197488066 5.918560231754164),Inundación,122.241552294,0.09796383931,9.960582e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.72721661743965 5.9208950652570325),Inundación,73.0969440083,0.05032335711,5.956754e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.41524818240786 5.923436539104098),Inundación,44.2758299443,0.04295783729,3.608032e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.71982406860691 5.9247254233558975),Inundación,45.3987613919,0.03236808049,3.701265e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.2468031442041 5.92514849281349),Inundación,26.5517124268,0.02077122143,2.163094e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.22641823323465 5.924406924217519),Inundación,61.7099626247,0.04855646665,5.027156e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-70.85402772763707 5.920455828489449),Inundación,51.6854506534,0.03532797123,4.207596e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-74.55113822837691 5.931860302157521),Inundación,34.7125169438,0.02881499446,2.834659e-05,1,14.0,15,['Boyacá'],23057.4616122,Constitución Política de Colombia 1886,1768654.28263,23057461612.2
POINT (-71.01548859725315 5.924179229547685),Inundación,27.2915601261,0.02573788627,2.222444e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.4229972113189 5.926771197219547),Inundación,28.0304617754,0.0233422858,2.28424e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.75732339708239 5.913907807828806),Inundación,408.279142653,0.17562357826,0.00033269106,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
